system,candidate_nodes,node,visit_count,trajectories,er,er_ge_10,er_ge_30
Browser,All non-trivial nodes,179,0,16,0.0,False,False
Browser,All non-trivial nodes,18,0,16,0.0,False,False
Browser,All non-trivial nodes,180,0,16,0.0,False,False
Browser,All non-trivial nodes,181,0,16,0.0,False,False
Browser,All non-trivial nodes,182,0,16,0.0,False,False
Browser,All non-trivial nodes,183,0,16,0.0,False,False
Browser,All non-trivial nodes,184,0,16,0.0,False,False
Browser,All non-trivial nodes,185,0,16,0.0,False,False
Browser,All non-trivial nodes,186,0,16,0.0,False,False
Browser,All non-trivial nodes,187,0,16,0.0,False,False
Browser,All non-trivial nodes,188,0,16,0.0,False,False
Browser,All non-trivial nodes,189,0,16,0.0,False,False
Browser,All non-trivial nodes,19,0,16,0.0,False,False
Browser,All non-trivial nodes,190,0,16,0.0,False,False
Browser,All non-trivial nodes,191,0,16,0.0,False,False
Browser,All non-trivial nodes,192,0,16,0.0,False,False
Browser,All non-trivial nodes,193,0,16,0.0,False,False
Browser,All non-trivial nodes,194,0,16,0.0,False,False
Browser,All non-trivial nodes,195,0,16,0.0,False,False
Browser,All non-trivial nodes,196,0,16,0.0,False,False
Browser,All non-trivial nodes,197,0,16,0.0,False,False
Browser,All non-trivial nodes,198,0,16,0.0,False,False
Browser,All non-trivial nodes,199,0,16,0.0,False,False
Browser,All non-trivial nodes,2,10,16,0.625,True,True
Browser,All non-trivial nodes,20,1,16,0.0625,False,False
Browser,All non-trivial nodes,200,0,16,0.0,False,False
Browser,All non-trivial nodes,201,0,16,0.0,False,False
Browser,All non-trivial nodes,202,0,16,0.0,False,False
Browser,All non-trivial nodes,203,0,16,0.0,False,False
Browser,All non-trivial nodes,204,0,16,0.0,False,False
Browser,All non-trivial nodes,205,0,16,0.0,False,False
Browser,All non-trivial nodes,206,0,16,0.0,False,False
Browser,All non-trivial nodes,207,0,16,0.0,False,False
Browser,All non-trivial nodes,208,0,16,0.0,False,False
Browser,All non-trivial nodes,209,0,16,0.0,False,False
Browser,All non-trivial nodes,21,0,16,0.0,False,False
Browser,All non-trivial nodes,210,0,16,0.0,False,False
Browser,All non-trivial nodes,211,0,16,0.0,False,False
Browser,All non-trivial nodes,212,0,16,0.0,False,False
Browser,All non-trivial nodes,213,0,16,0.0,False,False
Browser,All non-trivial nodes,214,0,16,0.0,False,False
Browser,All non-trivial nodes,215,0,16,0.0,False,False
Browser,All non-trivial nodes,216,0,16,0.0,False,False
Browser,All non-trivial nodes,217,0,16,0.0,False,False
Browser,All non-trivial nodes,218,0,16,0.0,False,False
Browser,All non-trivial nodes,219,0,16,0.0,False,False
Browser,All non-trivial nodes,22,0,16,0.0,False,False
Browser,All non-trivial nodes,220,0,16,0.0,False,False
Browser,All non-trivial nodes,221,0,16,0.0,False,False
Browser,All non-trivial nodes,222,0,16,0.0,False,False
Browser,All non-trivial nodes,223,0,16,0.0,False,False
Browser,All non-trivial nodes,224,0,16,0.0,False,False
Browser,All non-trivial nodes,225,0,16,0.0,False,False
Browser,All non-trivial nodes,226,0,16,0.0,False,False
Browser,All non-trivial nodes,227,0,16,0.0,False,False
Browser,All non-trivial nodes,228,0,16,0.0,False,False
Browser,All non-trivial nodes,229,0,16,0.0,False,False
Browser,All non-trivial nodes,23,0,16,0.0,False,False
Browser,All non-trivial nodes,230,0,16,0.0,False,False
Browser,All non-trivial nodes,231,1,16,0.0625,False,False
Browser,All non-trivial nodes,232,0,16,0.0,False,False
Browser,All non-trivial nodes,233,0,16,0.0,False,False
Browser,All non-trivial nodes,234,0,16,0.0,False,False
Browser,All non-trivial nodes,235,0,16,0.0,False,False
Browser,All non-trivial nodes,236,0,16,0.0,False,False
Browser,All non-trivial nodes,237,0,16,0.0,False,False
Browser,All non-trivial nodes,238,0,16,0.0,False,False
Browser,All non-trivial nodes,239,0,16,0.0,False,False
Browser,All non-trivial nodes,24,0,16,0.0,False,False
Browser,All non-trivial nodes,240,0,16,0.0,False,False
Browser,All non-trivial nodes,241,0,16,0.0,False,False
Browser,All non-trivial nodes,242,0,16,0.0,False,False
Browser,All non-trivial nodes,243,0,16,0.0,False,False
Browser,All non-trivial nodes,244,0,16,0.0,False,False
Browser,All non-trivial nodes,245,0,16,0.0,False,False
Browser,All non-trivial nodes,246,0,16,0.0,False,False
Browser,All non-trivial nodes,247,0,16,0.0,False,False
Browser,All non-trivial nodes,248,0,16,0.0,False,False
Browser,All non-trivial nodes,249,0,16,0.0,False,False
Browser,All non-trivial nodes,25,0,16,0.0,False,False
Browser,All non-trivial nodes,250,0,16,0.0,False,False
Browser,All non-trivial nodes,251,0,16,0.0,False,False
Browser,All non-trivial nodes,252,0,16,0.0,False,False
Browser,All non-trivial nodes,253,0,16,0.0,False,False
Browser,All non-trivial nodes,254,0,16,0.0,False,False
Browser,All non-trivial nodes,255,3,16,0.1875,True,False
Browser,All non-trivial nodes,256,1,16,0.0625,False,False
Browser,All non-trivial nodes,257,1,16,0.0625,False,False
Browser,All non-trivial nodes,258,1,16,0.0625,False,False
Browser,All non-trivial nodes,259,0,16,0.0,False,False
Browser,All non-trivial nodes,26,0,16,0.0,False,False
Browser,All non-trivial nodes,260,0,16,0.0,False,False
Browser,All non-trivial nodes,261,0,16,0.0,False,False
Browser,All non-trivial nodes,262,0,16,0.0,False,False
Browser,All non-trivial nodes,263,0,16,0.0,False,False
Browser,All non-trivial nodes,264,0,16,0.0,False,False
Browser,All non-trivial nodes,265,0,16,0.0,False,False
Browser,All non-trivial nodes,266,0,16,0.0,False,False
Browser,All non-trivial nodes,267,0,16,0.0,False,False
Browser,All non-trivial nodes,268,0,16,0.0,False,False
Browser,All non-trivial nodes,269,0,16,0.0,False,False
Browser,All non-trivial nodes,27,4,16,0.25,True,False
Browser,All non-trivial nodes,270,0,16,0.0,False,False
Browser,All non-trivial nodes,271,0,16,0.0,False,False
Browser,All non-trivial nodes,272,0,16,0.0,False,False
Browser,All non-trivial nodes,273,0,16,0.0,False,False
Browser,All non-trivial nodes,274,0,16,0.0,False,False
Browser,All non-trivial nodes,275,0,16,0.0,False,False
Browser,All non-trivial nodes,276,0,16,0.0,False,False
Browser,All non-trivial nodes,277,0,16,0.0,False,False
Browser,All non-trivial nodes,278,0,16,0.0,False,False
Browser,All non-trivial nodes,279,0,16,0.0,False,False
Browser,All non-trivial nodes,28,1,16,0.0625,False,False
Browser,All non-trivial nodes,280,0,16,0.0,False,False
Browser,All non-trivial nodes,281,0,16,0.0,False,False
Browser,All non-trivial nodes,282,0,16,0.0,False,False
Browser,All non-trivial nodes,283,0,16,0.0,False,False
Browser,All non-trivial nodes,284,0,16,0.0,False,False
Browser,All non-trivial nodes,285,0,16,0.0,False,False
Browser,All non-trivial nodes,286,0,16,0.0,False,False
Browser,All non-trivial nodes,287,0,16,0.0,False,False
Browser,All non-trivial nodes,288,0,16,0.0,False,False
Browser,All non-trivial nodes,289,0,16,0.0,False,False
Browser,All non-trivial nodes,29,0,16,0.0,False,False
Browser,All non-trivial nodes,290,0,16,0.0,False,False
Browser,All non-trivial nodes,291,0,16,0.0,False,False
Browser,All non-trivial nodes,292,0,16,0.0,False,False
Browser,All non-trivial nodes,293,0,16,0.0,False,False
Browser,All non-trivial nodes,294,0,16,0.0,False,False
Browser,All non-trivial nodes,295,0,16,0.0,False,False
Browser,All non-trivial nodes,296,0,16,0.0,False,False
Browser,All non-trivial nodes,297,0,16,0.0,False,False
Browser,All non-trivial nodes,298,0,16,0.0,False,False
Browser,All non-trivial nodes,299,0,16,0.0,False,False
Browser,All non-trivial nodes,3,14,16,0.875,True,True
Browser,All non-trivial nodes,30,0,16,0.0,False,False
Browser,All non-trivial nodes,300,0,16,0.0,False,False
Browser,All non-trivial nodes,301,0,16,0.0,False,False
Browser,All non-trivial nodes,302,0,16,0.0,False,False
Browser,All non-trivial nodes,303,0,16,0.0,False,False
Browser,All non-trivial nodes,304,0,16,0.0,False,False
Browser,All non-trivial nodes,305,0,16,0.0,False,False
Browser,All non-trivial nodes,306,0,16,0.0,False,False
Browser,All non-trivial nodes,307,0,16,0.0,False,False
Browser,All non-trivial nodes,308,0,16,0.0,False,False
Browser,All non-trivial nodes,309,0,16,0.0,False,False
Browser,All non-trivial nodes,31,8,16,0.5,True,True
Browser,All non-trivial nodes,310,0,16,0.0,False,False
Browser,All non-trivial nodes,311,0,16,0.0,False,False
Browser,All non-trivial nodes,312,0,16,0.0,False,False
Browser,All non-trivial nodes,313,0,16,0.0,False,False
Browser,All non-trivial nodes,314,0,16,0.0,False,False
Browser,All non-trivial nodes,315,0,16,0.0,False,False
Browser,All non-trivial nodes,316,0,16,0.0,False,False
Browser,All non-trivial nodes,317,0,16,0.0,False,False
Browser,All non-trivial nodes,318,0,16,0.0,False,False
Browser,All non-trivial nodes,319,0,16,0.0,False,False
Browser,All non-trivial nodes,32,1,16,0.0625,False,False
Browser,All non-trivial nodes,320,0,16,0.0,False,False
Browser,All non-trivial nodes,321,0,16,0.0,False,False
Browser,All non-trivial nodes,322,0,16,0.0,False,False
Browser,All non-trivial nodes,323,0,16,0.0,False,False
Browser,All non-trivial nodes,324,0,16,0.0,False,False
Browser,All non-trivial nodes,325,0,16,0.0,False,False
Browser,All non-trivial nodes,326,0,16,0.0,False,False
Browser,All non-trivial nodes,327,0,16,0.0,False,False
Browser,All non-trivial nodes,328,0,16,0.0,False,False
Browser,All non-trivial nodes,329,0,16,0.0,False,False
Browser,All non-trivial nodes,33,1,16,0.0625,False,False
Browser,All non-trivial nodes,330,0,16,0.0,False,False
Browser,All non-trivial nodes,331,0,16,0.0,False,False
Browser,All non-trivial nodes,332,0,16,0.0,False,False
Browser,All non-trivial nodes,333,0,16,0.0,False,False
Browser,All non-trivial nodes,334,0,16,0.0,False,False
Browser,All non-trivial nodes,335,0,16,0.0,False,False
Browser,All non-trivial nodes,336,0,16,0.0,False,False
Browser,All non-trivial nodes,337,0,16,0.0,False,False
Browser,All non-trivial nodes,338,0,16,0.0,False,False
Browser,All non-trivial nodes,339,0,16,0.0,False,False
Browser,All non-trivial nodes,34,0,16,0.0,False,False
Browser,All non-trivial nodes,340,0,16,0.0,False,False
Browser,All non-trivial nodes,341,0,16,0.0,False,False
Browser,All non-trivial nodes,342,0,16,0.0,False,False
Browser,All non-trivial nodes,343,0,16,0.0,False,False
Browser,All non-trivial nodes,344,0,16,0.0,False,False
Browser,All non-trivial nodes,345,0,16,0.0,False,False
Browser,All non-trivial nodes,346,0,16,0.0,False,False
Browser,All non-trivial nodes,347,0,16,0.0,False,False
Browser,All non-trivial nodes,348,0,16,0.0,False,False
Browser,All non-trivial nodes,349,0,16,0.0,False,False
Browser,All non-trivial nodes,35,1,16,0.0625,False,False
Browser,All non-trivial nodes,350,0,16,0.0,False,False
Browser,All non-trivial nodes,351,0,16,0.0,False,False
Browser,All non-trivial nodes,352,0,16,0.0,False,False
Browser,All non-trivial nodes,353,0,16,0.0,False,False
Browser,All non-trivial nodes,354,0,16,0.0,False,False
Browser,All non-trivial nodes,355,0,16,0.0,False,False
Browser,All non-trivial nodes,356,0,16,0.0,False,False
Browser,All non-trivial nodes,357,0,16,0.0,False,False
Browser,All non-trivial nodes,358,0,16,0.0,False,False
Browser,All non-trivial nodes,359,0,16,0.0,False,False
Browser,All non-trivial nodes,36,0,16,0.0,False,False
Browser,All non-trivial nodes,360,0,16,0.0,False,False
Browser,All non-trivial nodes,361,0,16,0.0,False,False
Browser,All non-trivial nodes,362,0,16,0.0,False,False
Browser,All non-trivial nodes,363,0,16,0.0,False,False
Browser,All non-trivial nodes,364,0,16,0.0,False,False
Browser,All non-trivial nodes,365,0,16,0.0,False,False
Browser,All non-trivial nodes,366,0,16,0.0,False,False
Browser,All non-trivial nodes,367,0,16,0.0,False,False
Browser,All non-trivial nodes,368,0,16,0.0,False,False
Browser,All non-trivial nodes,369,0,16,0.0,False,False
Browser,All non-trivial nodes,37,0,16,0.0,False,False
Browser,All non-trivial nodes,370,0,16,0.0,False,False
